timestamp,date,time,open,high,low,close,volume
2022-09-26 09:00:00,26/09/2022,09:00:00,6.197,6.577,6.15,6.553,46350978.1
2022-09-27 09:00:00,27/09/2022,09:00:00,6.552,6.799,6.233,6.366,43437219.6
2022-09-28 09:00:00,28/09/2022,09:00:00,6.366,6.468,6.165,6.386,32928235.1
2022-09-29 09:00:00,29/09/2022,09:00:00,6.386,6.49,6.254,6.429,27374548.9
2022-09-30 09:00:00,30/09/2022,09:00:00,6.429,6.565,6.212,6.315,32732734.5
2022-10-01 09:00:00,01/10/2022,09:00:00,6.315,6.33,6.208,6.267,15553756.6
2022-10-02 09:00:00,02/10/2022,09:00:00,6.267,6.324,6.118,6.153,21893328.5
2022-10-03 09:00:00,03/10/2022,09:00:00,6.152,6.4,6.078,6.364,24646655.7
2022-10-04 09:00:00,04/10/2022,09:00:00,6.364,6.53,6.34,6.489,19531280.2
2022-10-05 09:00:00,05/10/2022,09:00:00,6.489,6.502,6.264,6.43,23916299.2
2022-10-06 09:00:00,06/10/2022,09:00:00,6.431,6.519,6.308,6.339,23531427.3
2022-10-07 09:00:00,07/10/2022,09:00:00,6.339,6.392,6.25,6.325,16693061.5
2022-10-08 09:00:00,08/10/2022,09:00:00,6.325,6.393,6.263,6.307,12105045.7
2022-10-09 09:00:00,09/10/2022,09:00:00,6.307,6.492,6.277,6.476,19517885.5
2022-10-10 09:00:00,10/10/2022,09:00:00,6.475,6.544,6.23,6.249,27336408.4
2022-10-11 09:00:00,11/10/2022,09:00:00,6.248,6.249,6.116,6.176,24856495.7
2022-10-12 09:00:00,12/10/2022,09:00:00,6.175,6.243,6.117,6.168,17683483.5
2022-10-13 09:00:00,13/10/2022,09:00:00,6.169,6.178,5.575,6.104,53918742.2
2022-10-14 09:00:00,14/10/2022,09:00:00,6.104,6.269,6.009,6.037,25305811.6
2022-10-15 09:00:00,15/10/2022,09:00:00,6.036,6.097,6.014,6.047,11920444.3
2022-10-16 09:00:00,16/10/2022,09:00:00,6.046,6.245,6.042,6.177,15373705.5
2022-10-17 09:00:00,17/10/2022,09:00:00,6.177,6.297,6.121,6.25,18650452.3
2022-10-18 09:00:00,18/10/2022,09:00:00,6.249,6.296,6.063,6.153,20837723.3
2022-10-19 09:00:00,19/10/2022,09:00:00,6.152,6.251,6.057,6.096,22616659.1
2022-10-20 09:00:00,20/10/2022,09:00:00,6.095,6.15,5.809,5.878,33217079.1
2022-10-21 09:00:00,21/10/2022,09:00:00,5.878,5.896,5.717,5.832,42103984.3
2022-10-22 09:00:00,22/10/2022,09:00:00,5.832,5.869,5.763,5.841,17213825.0
2022-10-23 09:00:00,23/10/2022,09:00:00,5.842,5.974,5.743,5.959,21966807.1
2022-10-24 09:00:00,24/10/2022,09:00:00,5.958,5.987,5.799,5.91,28418122.3
2022-10-25 09:00:00,25/10/2022,09:00:00,5.911,6.624,5.891,6.432,63142927.7
2022-10-26 09:00:00,26/10/2022,09:00:00,6.432,6.607,6.406,6.461,37614523.9
2022-10-27 09:00:00,27/10/2022,09:00:00,6.461,6.64,6.273,6.326,36322673.8
2022-10-28 09:00:00,28/10/2022,09:00:00,6.326,6.581,6.259,6.512,27745805.5
2022-10-29 09:00:00,29/10/2022,09:00:00,6.512,6.772,6.485,6.631,28910229.3
2022-10-30 09:00:00,30/10/2022,09:00:00,6.631,6.739,6.512,6.648,19330802.8
2022-10-31 09:00:00,31/10/2022,09:00:00,6.648,6.831,6.556,6.617,33886496.9
2022-11-01 09:00:00,01/11/2022,09:00:00,6.618,6.712,6.443,6.45,20367511.9
2022-11-02 09:00:00,02/11/2022,09:00:00,6.45,6.523,6.152,6.251,36804100.1
2022-11-03 09:00:00,03/11/2022,09:00:00,6.251,6.529,6.222,6.416,27450757.6
